variable,value
D03_carnaza,1.0
D03_cuero,1.0
D03_orillo,1.0
D03_patica,1.0
D03_vaqueta,1.0
D03_amn_carnaza,42.57833795426479
D03_vap_press,54.062107088854134
D04_ph_initial_liq,2.9874396135265697
D04_clarity_initial_liq,76.20487922705314
D04_total_residue,33.440821256038646
D04_extract_duration,8.798752012882447
D05_peroxido_hid,51.64386561285117
D05_dioxido_azufre,18.764863490596824
D05_NTU_L1,176.2735230248817
D05_NTU_L3,118.47830463283361
D05_NTU_FP1,63.53156754479218
D05_NTU_FP2,58.83002992546845
D05_NTU_FP4,48.803225691364595
D06_phT,8.1251292472624
D06_phUF2,6.463801321397336
D09_T_condensing,33.13864734299517
D09_T_leg,59.239685990338174
D09_T_liquor,50.27705314009662
D09_Conc_liquor,26.853671497584543
D09_Tri_FrecA,20.831908212560386
D09_Tri_FrecB,17.13533816425121
D09_Tri_FrecD,19.760555555555555
D10_T_esteril,142.31613107619282
D10_T_out_gelatin,48.17615820464393
D10_T_out_water,40.11069031540879
D10_P_vaccum,20.289867838750308
D11_Ts_ref,18.865574873697874
D11_Td_ref,89.0172981609858
D12_P_Exch_Water,5.0385495744191395
D12_Kath_Lvl,12.031490108120542
D12_P_atom_cond,4.382871405567058
D12_P_atom_regn,0.19253048079135038
D12_P_filt,0.2920631469979296
D12_P_cond,1.7652428686450425
D12_P_regen,0.8725848286174372
D12_TA,37.16256740280654
D12_TB,36.99212905452036
D12_TD,48.869111456176675
D14_vpA,39.32499424890729
D14_vpB,41.23946399815964
D14_vpD,36.777294685990334
D14_T2A,45.65580285254199
D14_T2B,47.110944329422594
D14_T2D,40.22591442374051
D14_T3A,50.563095238095244
D14_T3B,50.09405912123304
D14_3D,45.77688060731539
D14_T4A,54.87830112721417
D14_T4B,54.33294225902921
D14_T4D,50.7160167931907
D14_T5A,59.16693121693121
D14_T5B,57.516804692891654
D14_T5D,55.902846790890266
D14_T6A,61.9428226363009
D14_T6B,62.77577064642282
D14_T6D,59.411634460547496
D14_T7A,67.09869450195536
D14_T7B,69.51008166551645
D14_T7D,65.17468368990107
