Batch,Bloom,Viscosidad,Claridad,AverageProduction,Yield,D03_amn_carnaza,D03_vap_press,D03_carnaza,D03_cuero,D03_orillo,D03_patica,D03_vaqueta,D04_ph_initial_liq,D04_clarity_initial_liq,D04_total_residue,D04_extract_duration,D05_peroxido_hid,D05_dioxido_azufre,D05_NTU_L1,D05_NTU_L3,D05_NTU_FP1,D05_NTU_FP2,D05_NTU_FP4,D06_phT,D06_phUF2,D09_T_condensing,D09_T_leg,D09_T_liquor,D09_Conc_liquor,D09_Tri_FrecA,D09_Tri_FrecB,D09_Tri_FrecD,D10_T_esteril,D10_T_out_gelatin,D10_T_out_water,D10_P_vaccum,D11_Ts_ref,D11_Td_ref,D12_P_Exch_Water,D12_Kath_Lvl,D12_P_atom_cond,D12_P_atom_regn,D12_P_filt,D12_P_cond,D12_P_regen,D12_TA,D12_TB,D12_TD,D14_vpA,D14_vpB,D14_vpD,D14_T2A,D14_T2B,D14_T2D,D14_T3A,D14_T3B,D14_3D,D14_T4A,D14_T4B,D14_T4D,D14_T5A,D14_T5B,D14_T5D,D14_T6A,D14_T6B,D14_T6D,D14_T7A,D14_T7B,D14_T7D
18-215,205.7,36.6,57.9,597.74,15.25,49.68,54.8,0.0,0.0,1.0,0.0,0.0,2.6,90.0,48.0,6.833333333333332,54.0,26.5,217.53846153846158,226.14285714285717,72.57142857142857,83.25,72.28571428571429,8.794285714285715,6.319285714285714,62.6,62.6,42.0,26.96,19.0,18.0,18.4,142.0,43.57333333333333,37.46666666666667,20.8,19.943991468894577,89.4967153290577,3.8333333333333335,11.966666666666667,3.4,0.19999999999999998,0.39999999999999997,1.7666666666666666,0.9500000000000001,36.9,36.01666666666667,48.36666666666667,40.0,40.666666666666664,40.0,47.0,45.166666666666664,40.666666666666664,49.5,50.166666666666664,45.333333333333336,55.0,54.166666666666664,50.0,60.166666666666664,59.333333333333336,58.333333333333336,61.666666666666664,62.5,58.833333333333336,67.33333333333333,67.16666666666667,72.33333333333333
18-216,222.3,38.3,60.2,499.02,15.25,48.2962962962963,53.7037037037037,0.0,0.0,1.0,0.0,0.0,3.1,75.0,51.0,6.5,58.30769230769231,22.30769230769231,288.0,250.6,108.8,101.5,61.66666666666666,7.706,6.494,61.17,61.33,42.67,26.9,18.83,18.83,23.67,142.0,45.26,38.48,20.0,19.94931908144224,89.49671532848015,3.1666666666666665,12.216666666666667,4.0,0.19999999999999998,0.4033333333333333,1.5999999999999999,0.9,37.050000000000004,36.33333333333333,48.699999999999996,40.0,42.833333333333336,40.0,45.333333333333336,48.5,40.166666666666664,49.5,54.5,44.833333333333336,54.666666666666664,57.666666666666664,50.0,60.333333333333336,61.666666666666664,58.0,63.0,63.333333333333336,58.0,67.0,68.16666666666667,71.16666666666667
18-217,231.5,37.9,38.5,584.0,15.3,44.8,54.8,1.0,1.0,1.0,1.0,0.0,2.96,80.0,57.0,2.333333333333333,50.91666666666666,19.166666666666668,176.45454545454547,139.66666666666666,76.5,56.5,48.33333333333334,7.989999999999999,6.379999999999999,61.83,62.0,43.0,26.88,12.67,18.83,24.0,141.91666666666666,46.02916666666667,40.54166666666666,19.77083333333333,20.961854464995948,89.49671532845196,3.6666666666666665,12.15,4.0,0.19999999999999998,0.37999999999999995,1.3166666666666667,0.9499999999999998,37.199999999999996,36.45,48.88333333333333,40.0,35.833333333333336,40.0,46.0,45.833333333333336,40.333333333333336,50.0,49.333333333333336,45.0,55.0,52.0,50.0,60.0,57.333333333333336,57.833333333333336,62.333333333333336,60.0,57.666666666666664,67.0,66.0,71.83333333333333
18-218,234.8,37.8,45.6,455.55,16.8,45.44,54.8,1.0,0.0,0.0,0.0,0.0,3.08,87.0,50.0,9.833333333333334,50.73333333333333,19.6,158.4375,190.84615384615384,61.2,65.07692307692308,48.54545454545455,7.926,6.316666666666667,55.83,55.67,41.83,27.13,18.83,19.0,3.33,142.0,43.14666666666666,19.6,19.75,22.0,89.49671532852473,4.5,12.066666666666665,4.0,0.19999999999999998,0.41333333333333333,1.3,0.9166666666666666,36.78333333333333,36.23333333333333,48.166666666666664,40.0,42.0,40.0,45.0,44.5,40.0,50.0,49.0,45.5,55.0,52.5,49.5,60.0,59.0,57.5,62.0,61.0,57.5,66.5,66.0,70.0
18-219,226.4,34.7,46.3,560.83,17.24,43.5,55.0,1.0,0.0,0.0,0.0,0.0,2.77,60.0,34.0,3.0,55.384615384615394,21.076923076923077,157.45454545454547,211.11111111111111,58.4,66.8,69.66666666666667,8.726666666666667,6.559166666666667,54.2,55.2,42.8,27.02,11.4,11.4,14.4,142.0,43.636,19.0,20.6,20.15529759654629,89.4967148566675,5.0,11.975,4.0,0.2,0.435,1.8499999999999999,1.025,36.575,36.85,48.3,40.0,43.0,40.0,45.25,45.0,40.25,50.0,49.75,45.5,55.0,50.75,50.0,59.25,56.75,59.0,60.5,60.75,59.5,66.0,66.5,72.0
18-220,202.9,33.1,54.6,553.77,17.31,46.64,54.8,1.0,0.0,1.0,0.0,0.0,2.91,19.0,29.0,9.833333333333334,57.5,24.42857142857143,183.7692307692308,157.33333333333334,70.69230769230771,73.16666666666667,59.69230769230769,8.700000000000001,6.368461538461539,60.71,62.43,42.57,25.76,18.57,18.57,22.29,142.0,44.31153846153846,38.42307692307692,21.0,21.0,89.49671532845969,3.857142857142857,11.971428571428573,4.0,0.19999999999999998,0.4185714285714286,1.885714285714286,0.942857142857143,37.15714285714286,36.785714285714285,48.65714285714285,40.0,40.8,40.0,45.8,46.4,41.4,50.4,50.6,45.4,55.2,53.0,50.2,59.8,59.4,59.0,61.2,61.6,59.2,67.0,66.6,69.0
18-221,224.9,35.1,40.1,455.23,16.92,43.5,55.0,1.0,0.0,1.0,1.0,0.0,3.07,174.0,26.0,4.5,53.08333333333334,23.41666666666667,155.58333333333334,106.1,58.14285714285714,113.5,39.583333333333336,7.166666666666668,6.5424999999999995,57.33,59.0,43.0,26.75,12.58,18.92,21.5,142.0,43.89333333333334,36.63333333333333,20.266666666666666,20.444040779101613,89.49671553875805,4.166666666666667,12.233333333333334,4.0,0.21666666666666665,0.4416666666666667,0.9833333333333334,0.9333333333333335,36.416666666666664,36.333333333333336,48.21666666666667,40.0,47.5,40.0,45.5,49.0,39.833333333333336,47.333333333333336,52.5,44.833333333333336,50.833333333333336,56.166666666666664,50.0,56.666666666666664,56.0,58.0,58.166666666666664,60.333333333333336,57.666666666666664,62.0,64.33333333333333,69.0
18-222,210.4,46.6,37.3,601.87,16.91,45.28,54.8,1.0,1.0,1.0,0.0,0.0,3.18,40.0,38.0,2.6666666666666665,40.583333333333336,20.83333333333333,128.33333333333334,168.63636363636363,73.0,84.8888888888889,59.1,7.916000000000001,6.463000000000001,53.67,55.0,42.33,26.62,9.5,19.0,20.0,142.0,43.65200000000001,30.52,19.92,23.5,89.49671532887804,4.0,12.12,4.0,0.28,0.43,1.5599999999999998,0.9199999999999999,36.7,36.14,48.14,40.0,45.333333333333336,40.0,48.666666666666664,48.666666666666664,40.0,50.0,50.666666666666664,45.333333333333336,55.0,54.666666666666664,50.0,59.666666666666664,61.333333333333336,57.666666666666664,62.666666666666664,63.333333333333336,57.666666666666664,67.0,67.66666666666667,67.33333333333333
18-223,230.1,35.1,29.5,527.72,16.72,42.64,54.8,1.0,1.0,1.0,1.0,0.0,3.08,52.0,36.5,1.75,33.166666666666664,18.33333333333333,179.33333333333337,85.4,62.375,78.0,35.444444444444436,8.18,6.251000000000001,54.4,55.6,42.2,27.38,18.0,18.0,23.2,142.0,43.83636363636364,30.22727272727273,20.318181818181817,20.96298250602598,89.49671532852791,5.0,12.175,3.975,0.2,0.3325,1.9,0.9,36.375,35.65,47.699999999999996,40.0,36.0,40.0,46.5,47.0,39.5,50.0,49.5,45.0,54.75,52.75,49.75,59.0,58.75,57.75,60.75,68.25,58.25,66.25,67.25,67.75
18-224,223.6,36.3,44.2,572.53,16.58,44.333333333333336,55.0,1.0,1.0,1.0,1.0,0.0,2.98,2.24,44.5,2.333333333333333,45.846153846153854,22.07692307692308,202.84615384615384,88.66666666666669,57.0,71.0,41.8,8.252727272727272,6.458181818181817,58.71,60.29,42.43,27.03,16.29,13.21,24.0,141.95454545454547,43.45909090909091,34.81818181818182,20.63636363636364,20.467704282843894,89.49671532877574,4.666666666666667,12.266666666666667,3.983333333333333,0.19999999999999998,0.4166666666666667,1.9000000000000001,0.9,36.26666666666667,36.23333333333334,48.56666666666666,40.0,41.333333333333336,40.0,45.833333333333336,48.833333333333336,40.5,49.0,52.0,45.333333333333336,54.833333333333336,55.5,51.5,58.666666666666664,60.166666666666664,57.833333333333336,61.0,62.5,58.5,66.83333333333333,67.5,68.66666666666667
18-225,217.8,36.9,34.6,587.73,16.47,42.95652173913044,55.21739130434783,1.0,0.0,1.0,1.0,0.0,2.7,35.0,36.0,0.3333333333333333,55.769230769230774,21.846153846153847,114.2,111.66666666666669,55.42857142857143,40.6,40.888888888888886,8.177777777777777,6.421111111111111,57.6,57.8,42.6,26.74,15.2,19.0,22.4,142.0,43.86818181818182,24.863636363636363,20.681818181818183,20.463024321240766,89.49671532853472,4.5,12.125,4.0,0.2,0.44,1.875,0.9500000000000001,37.275,36.75,48.775,40.0,42.0,40.0,46.0,45.25,40.25,50.5,50.75,45.25,55.0,55.0,50.0,59.75,60.5,57.75,61.25,61.75,58.25,66.0,66.75,71.25
18-226,214.1,38.1,34.7,460.97,16.05,44.476190476190474,55.714285714285715,1.0,0.0,0.0,1.0,0.0,2.9,50.0,34.0,21.58333333333333,55.66666666666666,14.555555555555555,197.77777777777774,123.7,62.4,49.5,48.6,8.20111111111111,6.282222222222223,55.0,54.67,41.33,26.07,6.33,19.0,23.67,142.21052631578948,44.96842105263158,30.315789473684212,21.0,20.436595334576,89.49671532881212,5.0,12.0,4.0,0.2,0.44000000000000006,1.8799999999999997,0.8800000000000001,36.739999999999995,36.44,47.72,40.0,46.0,40.0,46.6,49.0,40.0,50.0,52.6,45.6,54.6,57.2,50.0,59.6,61.0,57.8,61.8,62.4,59.2,66.2,67.6,61.2
18-227,208.4,36.5,36.1,542.34,15.97,45.30434782608695,55.21739130434783,1.0,0.0,0.0,1.0,0.0,2.93,24.0,19.0,23.66666666666667,50.384615384615394,19.153846153846157,124.55555555555556,111.22222222222223,54.75,45.57142857142857,40.5,8.286000000000001,6.505,55.6,56.4,41.8,26.5,18.9,18.9,23.0,142.65217391304347,43.76521739130435,16.956521739130434,20.565217391304348,19.470469765766264,89.49671586402063,4.0,12.65,4.125,0.2,0.4375,1.9,0.9,36.375,36.0,48.099999999999994,39.5,42.25,40.0,46.5,50.5,39.5,49.75,52.0,44.75,54.75,58.5,50.0,59.75,60.25,58.25,58.25,63.0,59.0,66.75,69.75,61.0
18-228,219.2,37.4,45.3,521.73,15.86,43.21739130434783,55.21739130434783,1.0,1.0,1.0,1.0,0.0,2.96,51.0,20.0,21.58333333333333,47.1,16.0,92.71428571428572,132.33333333333334,54.75,41.0,59.16666666666666,7.047500000000001,6.30875,52.25,53.0,42.25,26.15,14.25,4.75,18.0,143.82608695652175,45.36086956521739,30.217391304347824,19.80434782608696,19.97355410069196,89.49671532873798,3.0,12.3,4.16,0.2,0.42400000000000004,1.542,0.8800000000000001,36.160000000000004,35.92,48.9,39.2,35.8,40.0,45.8,43.2,40.0,50.2,50.0,43.2,54.4,54.4,50.0,59.8,55.2,57.8,60.4,62.4,60.0,67.2,68.0,62.8
18-229,210.3,39.1,46.5,506.7,15.56,44.81818181818182,55.45454545454545,1.0,1.0,1.0,1.0,0.0,2.85,67.0,28.5,1.75,39.5,20.375,184.66666666666663,100.22222222222223,70.57142857142857,54.33333333333334,53.0,8.162857142857144,6.274285714285713,57.0,57.5,41.5,26.25,9.5,9.5,22.5,144.8,46.02499999999999,36.25,19.55,21.45642988095659,89.4967145758137,4.0,13.1,4.5,0.2,0.4,0.2,1.0,37.6,36.9,49.8,38.0,38.5,40.0,46.5,53.0,39.5,49.0,53.0,44.0,54.5,64.0,50.5,60.0,63.5,58.0,60.5,63.0,59.0,64.0,71.0,60.0
