Batch,Bloom,Viscosidad,Claridad,AverageProduction,Yield,D03_amn_carnaza,D03_vap_press,D03_carnaza,D03_cuero,D03_orillo,D03_patica,D03_vaqueta,D04_ph_initial_liq,D04_clarity_initial_liq,D04_total_residue,D04_extract_duration,D05_peroxido_hid,D05_dioxido_azufre,D05_NTU_L1,D05_NTU_L3,D05_NTU_FP1,D05_NTU_FP2,D05_NTU_FP4,D06_phT,D06_phUF2,D09_T_condensing,D09_T_leg,D09_T_liquor,D09_Conc_liquor,D09_Tri_FrecA,D09_Tri_FrecB,D09_Tri_FrecD,D10_T_esteril,D10_T_out_gelatin,D10_T_out_water,D10_P_vaccum,D11_Ts_ref,D11_Td_ref,D12_P_Exch_Water,D12_Kath_Lvl,D12_P_atom_cond,D12_P_atom_regn,D12_P_filt,D12_P_cond,D12_P_regen,D12_TA,D12_TB,D12_TD,D14_vpA,D14_vpB,D14_vpD,D14_T2A,D14_T2B,D14_T2D,D14_T3A,D14_T3B,D14_3D,D14_T4A,D14_T4B,D14_T4D,D14_T5A,D14_T5B,D14_T5D,D14_T6A,D14_T6B,D14_T6D,D14_T7A,D14_T7B,D14_T7D
18-068,276.9,40.8,45.1,,13.79,41.03703703703704,48.888888888888886,1.0,1.0,1.0,1.0,0.0,3.02,24.0,43.0,20.83333333333333,62.0,5.111111111111111,98.6,83.22222222222223,49.125,47.625,30.125,8.225999999999999,6.231,61.14,61.29,43.43,26.33,19.07,19.29,24.0,142.0,51.938888888888904,48.88888888888889,19.222222222222218,20.459055493495555,89.49671670026008,3.0,10.86,4.540000000000001,0.2,0.22600000000000003,1.8399999999999999,1.38,40.019999999999996,39.800000000000004,50.940000000000005,37.0,36.0,33.2,48.2,47.6,40.8,50.2,49.6,45.0,55.6,54.8,50.2,59.6,57.6,54.0,64.8,65.4,59.8,70.8,70.2,65.2
18-069,267.7,41.4,58.5,,13.61,40.88,49.6,1.0,0.0,1.0,1.0,0.0,2.95,20.0,39.5,0.5,49.33333333333334,19.08333333333333,119.45454545454544,55.6,64.0,68.2,34.6,7.9590000000000005,6.483,61.0,61.75,44.5,26.58,20.0,20.0,23.5,142.0,51.67894736842104,49.842105263157904,19.13157894736842,20.0,89.4967171307717,3.4,11.42,4.56,0.2,0.242,1.5399999999999998,1.3599999999999999,40.0,39.78,50.8,37.0,40.0,31.5,47.75,49.0,41.75,50.0,50.5,45.75,55.25,54.5,51.0,59.0,58.5,56.25,64.5,64.5,61.25,71.25,72.75,65.5
18-070,264.1,39.2,55.7,,13.59,44.08,49.6,1.0,1.0,1.0,1.0,0.0,2.76,16.0,50.0,0.9166666666666666,74.26666666666667,24.4,104.91666666666669,79.27272727272727,42.77777777777778,43.444444444444436,37.54545454545455,7.91111111111111,6.187777777777779,62.6,63.0,47.4,26.02,19.3,19.3,24.0,142.0,51.61428571428571,49.114285714285714,19.214285714285715,20.44702118416751,89.49671711845077,2.75,11.525,4.6,0.2,0.245,1.8749999999999998,1.325,40.025,40.05,50.525,36.5,35.5,35.0,48.25,48.75,43.0,49.75,50.5,47.5,55.0,55.5,55.0,59.0,57.25,59.75,64.5,64.5,64.5,70.75,71.0,65.0
18-071,253.1,36.7,59.6,,13.65,43.25925925925926,51.851851851851855,1.0,1.0,1.0,1.0,0.0,2.86,16.0,39.5,2.333333333333333,54.714285714285715,16.928571428571427,127.23076923076924,89.33333333333331,55.0,64.0,45.88888888888889,7.696666666666665,6.5225,58.0,58.14,41.43,26.43,10.36,19.14,22.86,142.0,50.60434782608696,47.47826086956522,19.23913043478261,19.940590433160878,89.49671434140508,5.0,11.685714285714285,4.542857142857144,0.19999999999999998,0.25,1.3585714285714285,1.2714285714285711,40.22857142857142,39.800000000000004,50.57142857142858,37.666666666666664,33.666666666666664,35.666666666666664,48.5,47.333333333333336,42.666666666666664,50.666666666666664,49.666666666666664,48.833333333333336,55.166666666666664,54.666666666666664,55.5,61.0,58.0,58.833333333333336,65.33333333333333,63.666666666666664,64.5,71.33333333333333,69.66666666666667,65.83333333333333
18-072,286.3,40.5,51.6,,13.7,44.333333333333336,51.851851851851855,1.0,1.0,1.0,1.0,0.0,2.8,19.0,65.5,0.0,69.0,19.5,106.3,60.72727272727273,24.2,51.1,36.444444444444436,8.149,6.279,59.25,59.75,41.5,25.92,19.5,19.5,24.0,142.0,48.65217391304348,44.8695652173913,19.608695652173914,19.0,89.49671691247477,4.833333333333333,11.483333333333334,4.5,0.19999999999999998,0.25333333333333335,1.8333333333333333,1.3166666666666667,39.5,38.71666666666667,50.599999999999994,38.333333333333336,38.0,35.5,46.833333333333336,48.0,41.666666666666664,50.166666666666664,51.666666666666664,47.0,54.666666666666664,54.666666666666664,53.0,59.0,60.333333333333336,59.833333333333336,64.33333333333333,64.0,63.0,70.66666666666667,70.5,66.5
18-073,264.5,44.1,61.1,,13.78,44.0,51.92307692307692,1.0,0.0,1.0,1.0,0.0,3.03,15.0,46.0,22.83333333333333,59.25,17.076923076923073,117.33333333333331,135.45454545454547,60.125,55.125,50.125,7.439000000000002,6.545000000000002,59.83,59.67,43.17,26.3,19.33,19.33,7.67,142.0,49.50454545454546,47.18181818181818,19.545454545454547,19.96156240960164,89.4967155678919,4.8,11.3,4.56,0.2,0.254,1.86,1.26,39.4,39.260000000000005,50.26,38.0,31.8,36.6,46.2,46.0,43.0,50.0,49.0,47.6,55.0,54.0,54.8,58.2,55.6,59.6,64.8,64.4,64.4,70.6,71.0,66.8
18-074,262.0,40.6,66.0,,13.83,44.0,51.92307692307692,1.0,0.0,1.0,1.0,0.0,2.9,45.0,17.0,0.0,66.53846153846153,13.384615384615385,152.7,147.0,63.444444444444436,64.42857142857143,60.714285714285715,7.386666666666667,6.7275,57.67,58.0,43.17,26.83,17.25,17.25,21.5,142.0,49.452173913043474,45.39130434782609,19.391304347826086,19.92398092373349,89.49671436482642,4.0,11.7,4.525,0.2,0.25,1.8499999999999999,1.2249999999999999,39.824999999999996,39.55,50.7,38.4,40.0,35.0,47.0,47.6,43.2,50.0,48.6,47.8,55.0,55.2,55.4,59.8,57.0,57.4,62.8,65.2,64.8,70.8,70.4,66.8
18-075,272.0,38.8,66.0,,13.88,43.61538461538461,51.92307692307692,1.0,0.0,1.0,1.0,0.0,2.7,27.0,22.5,22.66666666666667,58.5,18.5,147.9090909090909,78.77777777777777,71.1111111111111,63.0,40.125,6.630000000000001,6.556666666666667,61.4,62.0,42.4,26.32,18.9,19.2,23.6,141.9047619047619,49.37619047619047,45.42857142857143,19.952380952380953,19.956276612268766,89.49671686892863,4.6,11.620000000000001,4.5200000000000005,0.2,0.23199999999999998,1.8599999999999999,1.32,39.86,39.54,50.55999999999999,37.75,36.25,35.5,47.25,50.25,43.0,50.25,51.75,47.0,55.0,56.0,54.75,59.5,58.75,58.5,64.75,64.75,64.75,69.75,72.25,66.75
18-076,281.0,45.3,54.0,,13.92,42.72,52.0,1.0,0.0,1.0,1.0,0.0,3.25,51.0,23.5,22.0,61.25,22.16666666666667,147.55555555555554,138.72727272727272,71.8888888888889,64.25,58.0,7.810000000000001,6.798181818181818,60.8,50.0,43.0,26.52,18.4,18.4,23.6,142.0,50.59545454545455,46.31818181818182,19.65909090909091,19.949244729345594,89.49671684995701,4.8,12.16,4.54,0.2,0.2,1.86,1.2399999999999998,39.72,39.4,50.94,37.6,42.0,32.0,47.2,51.0,43.0,49.8,52.0,47.2,56.0,56.2,55.2,60.2,60.0,59.2,64.6,65.6,64.8,70.6,72.0,66.6
18-077,285.0,43.6,45.0,,13.95,42.96,52.0,1.0,1.0,1.0,1.0,0.0,3.24,36.0,32.5,0.4166666666666667,42.72727272727273,15.363636363636365,127.0909090909091,51.2,51.4,52.5,32.6,7.579090909090908,6.5609090909090915,59.2,60.2,42.0,26.38,20.0,20.0,24.0,142.0,49.72173913043479,45.73913043478261,19.565217391304348,19.94077959949664,89.49671683215773,5.0,11.48,4.5200000000000005,0.22000000000000003,0.2,1.86,1.3,40.14,39.739999999999995,51.04,38.0,29.0,35.4,46.6,48.4,42.6,50.2,49.4,47.2,55.0,55.6,55.0,58.4,57.0,59.8,64.6,65.6,64.6,69.6,70.4,67.0
18-078,237.0,32.9,50.0,,13.96,43.30769230769231,49.23076923076923,1.0,0.0,1.0,1.0,0.0,3.12,20.0,33.5,4.083333333333333,67.0,14.928571428571427,88.7857142857143,110.64285714285714,51.25,56.33333333333334,41.81818181818182,6.90888888888889,6.797777777777778,55.0,55.0,41.0,25.2,18.0,18.0,22.0,142.0,48.43333333333334,44.444444444444436,19.972222222222218,19.34021134702033,89.49671691022604,3.6,10.76,4.72,0.2,0.2,1.8200000000000003,1.3199999999999998,40.0,39.60000000000001,50.839999999999996,38.0,31.2,35.6,48.0,49.4,43.0,50.2,53.4,46.6,55.0,57.2,54.6,59.6,60.0,59.0,65.0,67.0,64.4,70.4,72.2,66.6
18-079,263.0,39.3,44.0,,14.0,42.0,48.888888888888886,1.0,1.0,1.0,1.0,0.0,3.02,15.0,25.0,22.0,59.54545454545455,21.727272727272727,99.1,74.5,43.9,35.166666666666664,34.25,7.586999999999999,6.550999999999999,60.4,60.6,42.2,26.52,19.1,19.2,23.6,142.0,49.52105263157896,45.73684210526316,20.0,19.35777771320761,89.49671686892863,4.5,10.875,4.8,0.2,0.2525,1.8749999999999998,1.3499999999999999,40.125,39.900000000000006,51.025000000000006,38.0,37.6,35.2,46.8,47.2,43.0,48.6,48.6,42.6,54.8,54.6,53.2,59.4,58.8,61.0,65.4,64.2,64.8,70.0,70.2,66.4
18-080,248.8,38.2,32.1,527.01,14.0,42.074074074074076,48.888888888888886,1.0,0.0,1.0,1.0,0.0,2.74,20.0,27.5,22.16666666666667,91.14285714285714,17.555555555555557,95.55555555555556,81.1111111111111,41.375,42.2,37.42857142857143,7.662222222222223,6.653333333333332,58.4,58.2,44.0,24.92,18.4,18.4,23.6,142.0,49.515,45.85,20.0,19.95015482930012,89.7483585670725,3.2,10.959999999999999,4.8,0.24,0.252,1.8800000000000001,1.44,39.68,39.62,50.839999999999996,38.0,33.4,35.2,47.0,47.0,42.4,47.6,49.8,46.4,53.4,53.0,54.2,59.2,57.2,57.6,63.6,61.8,64.6,67.4,66.8,66.4
18-081,267.4,39.8,42.2,524.76,13.99,42.51851851851852,48.888888888888886,1.0,0.0,1.0,1.0,0.0,2.69,22.0,34.5,21.75,55.18181818181818,22.272727272727273,156.0,94.55555555555556,54.714285714285715,43.33333333333334,51.4,7.799999999999999,6.381,60.83,61.67,42.83,26.32,19.83,13.0,24.0,142.0,49.59,46.65,19.5,20.913718268484445,89.4967170528198,3.8,12.379999999999999,4.7,0.2,0.256,1.8800000000000001,1.3800000000000001,39.18,38.98,50.22,38.0,35.25,36.5,45.5,44.5,41.75,50.0,47.75,51.25,54.25,55.0,56.5,59.0,60.5,61.0,64.0,64.0,64.75,68.25,68.25,67.0
18-082,279.2,39.5,39.6,531.68,13.98,42.888888888888886,51.851851851851855,1.0,1.0,1.0,0.0,0.0,3.06,20.0,40.5,22.33333333333333,40.6,19.8,78.45454545454545,76.7,31.875,41.25,30.777777777777782,8.716999999999999,6.358,57.8,58.4,43.2,26.52,18.6,10.8,24.0,142.0,49.05238095238095,45.80952380952381,19.80952380952381,22.0,89.49671722984567,4.8,11.7,4.6,0.2,0.254,1.9,1.3800000000000001,39.5,38.9,50.08,38.0,35.5,35.5,49.25,51.25,42.0,49.0,45.5,47.0,54.0,53.5,55.25,57.5,56.0,62.0,64.0,61.25,64.25,68.25,68.25,67.0
18-083,269.7,37.2,40.9,535.56,14.0,42.074074074074076,51.851851851851855,1.0,0.0,1.0,0.0,0.0,2.62,19.0,35.5,21.75,42.3,24.7,125.44444444444444,72.66666666666667,51.33333333333334,53.33333333333334,33.0,8.40125,6.202500000000001,58.4,58.6,42.8,26.26,19.6,15.4,24.0,142.0,50.40952380952381,47.23809523809525,19.61904761904762,19.81686494230314,89.4967171329813,3.75,11.35,4.7,0.2,0.25,1.9,1.375,39.675,39.55,50.575,38.5,33.25,35.0,45.5,48.25,41.25,49.5,55.25,45.75,55.25,53.0,54.0,59.0,57.0,58.75,63.75,63.75,63.5,68.0,66.75,66.5
18-084,267.2,36.5,52.0,560.58,14.03,43.851851851851855,48.888888888888886,1.0,0.0,1.0,0.0,0.0,2.7,17.0,70.0,1.3333333333333333,62.2,14.3,91.45454545454544,97.8,37.833333333333336,44.444444444444436,37.16666666666666,7.765000000000001,6.426,57.8,58.2,35.0,26.94,19.6,19.6,23.2,142.0,50.53888888888889,46.555555555555564,19.722222222222218,19.95600464714795,89.49671444047135,4.0,11.799999999999999,4.6,0.2,0.25,1.475,1.425,38.3,38.15,49.55,38.5,37.25,33.75,44.5,48.0,41.5,49.0,54.75,46.25,54.0,56.0,54.75,59.25,59.5,58.25,63.5,64.25,64.75,68.0,71.0,67.0
18-085,264.0,36.1,43.0,507.03,14.12,42.2962962962963,48.888888888888886,1.0,0.0,1.0,0.0,0.0,2.75,28.0,58.0,22.91666666666667,44.3,11.6,135.55555555555554,125.66666666666669,40.42857142857143,38.333333333333336,38.6,7.657000000000001,6.327,57.83,58.33,42.5,26.58,19.42,19.42,24.0,142.0,50.445,46.95,19.6,19.929575660483465,89.49671709505628,4.8,10.959999999999999,4.7,0.2,0.256,1.9,1.4,38.78,38.339999999999996,49.7,37.6,35.6,32.4,47.0,48.0,41.4,50.0,41.4,47.0,54.0,55.8,55.0,59.0,52.6,60.6,62.0,63.0,64.2,66.6,68.4,65.6
18-086,272.8,33.9,34.6,557.31,15.68,42.81481481481482,48.888888888888886,1.0,1.0,1.0,0.0,0.0,2.9,21.0,55.5,23.0,31.88888888888889,10.111111111111109,87.44444444444444,73.55555555555556,34.1,40.888888888888886,29.42857142857143,7.598000000000001,6.187,54.5,55.5,43.17,26.63,18.83,18.92,20.0,142.0,50.37619047619048,47.33333333333334,19.452380952380953,20.403146673818696,89.74835940723732,7.0,12.699999999999998,4.766666666666667,0.20000000000000004,0.25666666666666665,1.8666666666666665,1.4333333333333333,38.56666666666666,38.266666666666666,49.63333333333333,38.0,32.0,36.0,47.75,49.25,41.75,48.5,41.75,46.5,54.0,55.0,54.25,59.0,55.25,59.75,61.75,62.75,63.5,65.25,69.5,65.25
18-087,252.7,33.5,42.6,593.54,16.1,42.46153846153846,57.69230769230769,1.0,1.0,1.0,0.0,0.0,2.67,26.0,33.5,22.75,76.0,13.333333333333336,130.3,90.5,56.444444444444436,37.857142857142854,44.66666666666666,7.522,6.58,54.8,55.2,43.4,26.6,20.0,19.9,24.0,142.0,50.27272727272728,48.72727272727273,19.568181818181817,19.924289863150364,89.49671699148256,5.0,11.739999999999998,4.8,0.2,0.258,1.9,1.44,38.3,37.98,49.64,38.0,42.4,35.4,45.4,46.6,41.8,49.0,41.6,47.4,53.8,55.2,54.0,58.8,53.6,59.6,62.2,62.0,63.2,65.4,67.2,65.4
18-088,256.5,35.4,45.8,578.54,16.17,42.74074074074074,57.407407407407405,1.0,1.0,1.0,1.0,0.0,2.92,64.0,53.5,23.25,52.58333333333334,12.666666666666664,123.9090909090909,89.1,44.57142857142857,59.25,37.90909090909091,6.965454545454548,6.51,60.2,59.8,43.8,28.08,20.0,20.0,24.0,142.0,50.0952380952381,46.76190476190475,19.5,20.929575660483465,89.74835847123406,3.5,11.95,4.699999999999999,0.2,0.26,1.9,1.5,38.55,38.0,49.95,38.6,25.6,35.8,46.0,47.0,42.2,47.6,41.2,47.0,54.0,55.4,54.6,57.2,53.0,58.6,62.2,62.0,63.8,66.0,68.8,65.8
18-089,226.2,32.5,53.8,577.51,16.21,43.7037037037037,57.407407407407405,1.0,1.0,1.0,1.0,0.0,2.98,33.0,61.5,1.5,64.66666666666667,17.133333333333333,235.88888888888889,205.0,75.14285714285714,70.5,72.85714285714286,7.284999999999999,6.645833333333335,56.5,57.0,43.0,26.72,15.83,15.83,24.0,142.0,50.45454545454545,46.63636363636363,20.045454545454547,20.435425478331297,89.74835846678434,3.5,11.475000000000001,4.699999999999999,0.2,0.26,1.9,1.4500000000000002,38.375,37.825,49.3,38.5,34.5,35.25,45.5,43.75,41.75,48.75,41.25,46.25,54.25,54.5,54.75,59.25,51.75,60.25,62.25,62.75,63.75,66.0,68.75,66.25
18-090,245.2,33.2,60.4,587.06,15.93,42.370370370370374,57.407407407407405,1.0,0.0,1.0,1.0,0.0,3.02,56.0,57.5,22.5,69.7,17.6,250.625,270.42857142857144,92.14285714285714,75.0,99.42857142857143,6.622222222222222,6.266666666666667,59.0,59.5,43.25,26.92,19.0,19.0,23.5,142.05263157894737,50.74736842105262,45.78947368421053,20.0,19.92485388366555,89.49671706835943,4.333333333333333,11.866666666666665,4.733333333333333,0.20000000000000004,0.25666666666666665,1.3366666666666667,1.5333333333333332,38.166666666666664,37.63333333333333,48.73333333333333,38.333333333333336,33.666666666666664,33.333333333333336,45.0,47.0,42.333333333333336,49.0,41.333333333333336,46.666666666666664,54.0,53.666666666666664,54.333333333333336,58.666666666666664,52.666666666666664,58.666666666666664,61.333333333333336,63.666666666666664,64.0,67.0,70.0,66.33333333333333
18-091,234.5,34.1,67.9,610.37,16.17,42.666666666666664,57.407407407407405,1.0,0.0,1.0,1.0,0.0,3.12,48.0,38.5,23.91666666666667,50.1,24.4,211.2,260.42857142857144,92.0,89.25,78.0,5.8740000000000006,6.332999999999999,58.4,58.4,43.6,27.3,19.0,19.0,24.0,142.0,50.5695652173913,46.0,19.695652173913047,20.43070370151338,89.49671666063524,4.333333333333333,11.433333333333335,4.6,0.20000000000000004,0.25,1.3333333333333333,1.4333333333333333,38.666666666666664,38.333333333333336,50.300000000000004,38.0,32.5,32.5,45.0,44.75,41.75,49.0,38.0,45.5,54.0,53.5,54.75,59.0,46.25,59.0,61.75,61.5,63.0,66.25,66.0,65.75
18-092,252.2,35.2,70.2,,16.06,42.44444444444444,57.407407407407405,1.0,1.0,1.0,1.0,0.0,3.04,44.0,38.0,1.0,59.27272727272727,15.636363636363635,303.375,210.33333333333331,65.25,96.42857142857143,79.0,8.084999999999999,6.601999999999999,54.33,54.33,43.17,27.33,20.17,20.0,23.67,142.0,50.15454545454545,45.81818181818182,20.0,20.414353681977502,89.74835857152176,5.833333333333333,11.433333333333332,4.666666666666667,0.19999999999999998,0.25333333333333335,1.616666666666667,1.4166666666666663,38.6,38.083333333333336,49.85,37.666666666666664,32.333333333333336,31.0,45.833333333333336,46.0,41.666666666666664,49.0,40.833333333333336,45.666666666666664,53.833333333333336,54.333333333333336,55.0,59.0,46.833333333333336,58.833333333333336,62.0,62.666666666666664,63.5,66.66666666666667,68.33333333333333,66.83333333333333
18-093,244.2,35.0,54.5,505.36,15.66,43.55555555555556,57.407407407407405,1.0,0.0,1.0,1.0,0.0,3.25,61.0,25.5,21.75,53.2,18.2,231.125,195.75,82.71428571428571,73.0,60.22222222222222,7.078888888888888,6.515555555555555,54.4,54.4,42.6,27.46,21.0,19.6,24.0,142.0,52.114285714285714,47.904761904761905,19.61904761904762,20.935425478331297,89.74835834424812,5.6,11.819999999999999,4.68,0.2,0.256,1.5599999999999998,1.4599999999999997,39.14,38.94,50.58,38.0,36.0,35.0,47.2,46.0,41.6,48.8,41.0,47.6,53.8,55.2,54.8,58.8,47.4,57.6,61.0,63.6,63.4,65.4,68.0,66.2
18-094,243.2,34.0,56.2,566.44,15.72,41.77777777777778,57.407407407407405,1.0,0.0,1.0,1.0,0.0,2.94,90.0,34.5,2.333333333333333,67.91666666666667,16.583333333333332,229.63636363636363,83.4,63.875,60.714285714285715,38.0,8.065,6.40625,58.0,56.4,42.6,27.44,22.22,19.5,24.0,142.0,51.57826086956521,46.34782608695652,20.0,20.408996491666752,89.74835835314798,4.8,12.14,4.720000000000001,0.2,0.254,1.8800000000000001,1.44,38.339999999999996,37.9,49.540000000000006,38.2,34.4,36.2,46.8,44.6,41.8,48.8,38.8,47.0,53.8,53.8,54.6,59.2,47.2,57.6,62.2,62.2,63.4,66.4,66.0,66.2
18-095,250.3,35.6,57.5,549.51,15.56,40.74074074074074,57.407407407407405,1.0,0.0,1.0,1.0,0.0,3.02,152.0,37.0,22.25,43.0,15.6,209.33333333333331,137.375,72.125,72.75,57.57142857142857,7.858,6.51,59.0,59.2,42.8,27.02,15.5,15.5,23.2,142.0,52.08999999999999,46.15,19.85,20.44127529617936,89.7483583119365,4.0,11.559999999999999,4.619999999999999,0.21999999999999997,0.254,1.56,1.4,37.67999999999999,38.18,50.14,37.6,34.6,33.8,47.4,44.0,41.8,49.4,42.4,47.4,55.0,54.2,54.2,59.2,58.6,59.0,62.2,62.0,63.2,67.6,69.2,65.8
18-096,238.3,34.3,46.2,579.49,15.64,41.407407407407405,57.407407407407405,1.0,0.0,1.0,1.0,0.0,2.93,52.0,16.5,0.6666666666666666,47.53846153846154,20.153846153846157,173.36363636363637,124.0909090909091,68.57142857142857,59.1,35.42857142857143,7.96090909090909,6.414545454545455,59.67,61.17,43.67,27.68,17.33,19.0,23.33,142.0,51.79166666666666,46.20833333333334,20.0,18.79561251366601,89.496716623873,4.0,11.875,4.675,0.2,0.26,1.9,1.35,38.05,37.375,49.7,37.5,29.0,30.5,46.5,45.0,41.75,48.75,39.25,47.0,54.0,54.75,54.75,58.75,52.5,58.75,62.5,63.5,63.75,66.25,67.25,65.75
18-097,234.5,30.8,48.9,547.61,15.45,39.84615384615385,57.69230769230769,1.0,1.0,0.0,1.0,0.0,3.05,34.0,13.5,21.25,58.444444444444436,13.444444444444445,143.33333333333334,93.875,49.33333333333334,51.16666666666666,40.285714285714285,7.616666666666666,6.701111111111112,57.4,58.2,43.4,27.46,19.4,19.4,19.2,142.0,52.30500000000001,46.55,20.0,20.94127529617936,89.4967153287862,4.333333333333333,12.233333333333334,4.6,0.20000000000000004,0.26,1.8999999999999997,1.4333333333333336,36.76666666666667,38.333333333333336,49.96666666666667,38.5,32.0,34.5,46.25,46.0,41.5,48.75,39.75,46.75,54.0,55.5,55.0,58.25,45.5,61.0,62.5,61.5,64.0,66.0,66.0,65.25
18-098,206.5,31.0,51.7,536.5,15.44,40.96296296296296,57.407407407407405,1.0,1.0,1.0,1.0,0.0,2.89,131.0,22.0,2.25,53.230769230769226,22.923076923076927,200.5,143.33333333333334,69.2,65.0909090909091,58.45454545454545,8.050999999999998,6.272999999999999,59.4,60.2,44.4,27.1,7.5,7.5,24.0,142.0,52.64782608695653,47.17391304347826,19.956521739130434,20.402729201401428,89.49671532881666,4.5,12.8,4.65,0.25,0.225,1.05,1.2999999999999998,38.349999999999994,38.05,50.0,37.5,29.5,33.25,45.25,48.25,41.25,48.75,42.5,46.0,54.0,54.0,54.5,58.5,48.5,59.25,62.0,62.25,63.5,66.0,67.0,65.25
18-099,216.8,32.5,52.3,573.95,15.41,41.77777777777778,57.407407407407405,1.0,1.0,1.0,1.0,0.0,2.69,108.0,30.5,1.3166666666666669,59.0,14.333333333333336,249.27272727272728,161.11111111111111,90.0,80.66666666666667,55.42857142857143,8.232000000000001,6.422,60.0,61.0,43.0,26.5,0.0,0.0,24.0,142.0,52.7727272727273,47.72727272727273,20.0,19.907409163004672,89.49671532879938,5.75,12.0,4.675000000000001,0.27499999999999997,0.25,1.4749999999999999,1.3499999999999999,38.25,37.825,49.8,37.2,33.0,31.0,46.0,46.8,42.2,49.2,40.4,45.4,54.2,53.6,55.0,58.0,47.2,61.0,61.4,60.0,64.4,65.0,66.0,66.0
18-100,222.4,32.1,53.3,554.23,15.35,44.592592592592595,57.407407407407405,1.0,0.0,1.0,1.0,0.0,2.99,184.0,39.0,3.25,47.230769230769226,18.153846153846157,224.3636363636364,154.7,81.125,70.77777777777777,66.0,8.547272727272727,6.15090909090909,55.5,56.0,45.5,27.72,10.0,0.0,24.0,142.0,52.5304347826087,46.08695652173913,20.0,19.907409163004672,89.49671530271415,5.0,10.65,4.8,0.2,0.25,1.9,1.4,38.05,37.55,49.6,38.333333333333336,30.0,30.0,47.333333333333336,45.333333333333336,41.666666666666664,52.0,44.666666666666664,49.666666666666664,54.666666666666664,53.333333333333336,57.0,58.666666666666664,54.333333333333336,59.666666666666664,61.333333333333336,61.333333333333336,64.0,65.33333333333333,68.66666666666667,67.0
18-101,254.1,39.0,54.4,591.4,15.34,44.44444444444444,57.407407407407405,1.0,0.0,1.0,0.0,0.0,3.13,178.0,47.5,22.0,54.8,17.9,219.5,132.11111111111111,75.0,62.25,62.111111111111114,7.601111111111111,6.608888888888888,60.0,59.83,45.33,27.72,19.58,19.42,24.0,142.0,54.25000000000001,48.27272727272727,19.431818181818183,19.3049197398783,89.49671532854654,5.25,10.375,4.699999999999999,0.2,0.255,1.9,1.4000000000000001,38.775000000000006,38.075,50.425,37.0,34.333333333333336,32.0,45.833333333333336,46.166666666666664,41.833333333333336,52.5,41.5,46.833333333333336,55.166666666666664,54.333333333333336,54.166666666666664,61.666666666666664,52.0,60.0,63.333333333333336,61.0,64.0,67.0,65.0,66.0
18-102,256.8,35.2,54.3,587.3,15.38,44.69230769230769,55.76923076923077,1.0,0.0,1.0,0.0,0.0,2.97,110.0,34.5,23.75,60.0,11.5,199.0,129.375,75.83333333333333,79.875,57.66666666666666,8.047272727272729,6.277272727272727,56.67,57.5,43.5,27.13,18.42,18.75,24.0,142.0,54.58181818181818,49.22727272727273,19.568181818181817,19.8220935362196,89.49671565838618,4.25,10.575,4.75,0.2,0.2575,1.9,1.4,39.3,38.775,50.825,37.4,34.4,34.0,46.4,48.0,41.8,52.8,43.0,46.6,55.0,53.2,54.8,61.0,51.2,57.2,64.2,60.0,63.6,65.0,66.4,65.6
18-103,246.3,34.2,53.1,604.2,15.44,44.592592592592595,57.407407407407405,1.0,0.0,1.0,0.0,0.0,2.74,112.0,47.0,1.75,79.08333333333333,20.0,239.75,113.0,77.4,87.16666666666669,51.375,8.270999999999999,6.353,59.6,59.8,44.0,29.28,18.5,18.5,22.6,142.0,54.42608695652174,48.8695652173913,19.43478260869565,20.45090721312749,89.49671532867113,4.4,11.059999999999999,4.7,0.2,0.26,1.8800000000000001,1.12,39.54,39.120000000000005,51.040000000000006,38.5,35.0,35.5,48.75,49.25,41.5,53.5,44.25,46.5,55.5,54.75,54.75,62.0,50.25,60.0,62.5,62.25,64.0,63.5,69.75,65.5
18-104,263.2,36.4,48.0,566.98,15.48,44.74074074074074,57.407407407407405,1.0,0.0,1.0,0.0,0.0,3.24,199.0,54.0,23.33333333333333,55.41666666666666,20.416666666666668,151.0,196.33333333333331,64.66666666666667,56.0,93.33333333333331,7.643000000000001,6.499,58.0,58.2,44.2,26.12,18.0,19.0,23.6,142.0,55.52173913043478,50.52173913043478,19.32608695652174,20.40001302868609,89.49671532852379,4.333333333333333,11.700000000000001,4.733333333333333,0.20000000000000004,0.25666666666666665,1.8999999999999997,1.2666666666666666,38.56666666666667,38.2,50.23333333333333,36.666666666666664,34.0,34.0,45.333333333333336,47.0,42.333333333333336,50.333333333333336,40.0,45.333333333333336,55.0,53.0,54.666666666666664,62.666666666666664,51.333333333333336,59.0,63.666666666666664,60.666666666666664,63.0,65.66666666666667,66.66666666666667,65.0
